id,曲名,歌手名
139,Prototype,niki feat.Lily
138,-ERROR,niki feat.Lily
137,ポジティブ・パレード《本人映像》,DECO*27
136,ロストドリーム・ジェネレーションズ,凋叶棕 feat.めらみぽっぷ
135,もっともおそろしいものについて,凋叶棕 feat.めらみぽっぷ
134,rebellion -たいせつなもののために-,凋叶棕 feat.3L
133,name for the love,凋叶棕 feat.めらみぽっぷ
132,アイ・ウィッシュ・クロスフェード,ふぉれすとぴれお feat.紫月菜乃
131,Endless Embrace,MYTH & ROID
130,かたち,安月名莉子
129,銀色飛行船,supercell
128,A-Yah-YAh-YaH-YAH!,ふぉれすとぴれお feat.めらみぽっぷ
127,嘘のすゝめ,凋叶棕 feat.めらみぽっぷ
126,Asphodelus-アスフォデルス-,Ceui
125,ラグトレイン,稲葉曇 feat.歌愛ユキ
124,東方スイーツ! ～鬼畜姉妹と受難メイド～,Innocent Keyと樹詩音、ココ、小宮真央
123,藍悼花-aitouka-《本人映像》,酔シグレ feat.Lucia
122,水底のメロディ,凋叶棕 feat.めらみぽっぷ
121,Cruel CRuEL,凋叶棕 feat.めらみぽっぷ
120,砂鉄の国のアリス,凋叶棕 feat.めらみぽっぷ
119,シンデレラアバター,幽閉サテライト/senya
118,メイドと血の懐中時計～Lune Bleue Mix,はちみつれもん feat.中恵光城
117,永遠に幼き紅い月,Silver Forest feat. さゆり
116,紅い月,うっちー/いえろ～ぜぶら(あ～るの～と)
115,スターチス,結月そら
114,花の記憶,Silver Forest feat. なつみ
113,大地に咲く旋律,幽閉サテライト/senya
112,Opposite World,幽閉サテライト/senya
111,廻り巡る,舞風-MAIKAZE/沙紗飛鳥
110,うたかた花火《本人映像》,supercell
109,終わりへ向かう始まりの歌,supercell
108,時世界～トキセカイ～,アミル(伊藤かな恵)、ネリス(相沢舞)、エアリィ(三上枝織)
107,アイの庭,Duca
106,餞の鳥,D/Zeal [ジュリア (CV.愛美)、最上静香 (CV.田所あずさ)]
105,Daydream cafe,Petit Rabbit's
104,世界の約束,倍賞千恵子
103,バイオレンストリガー,八王子P feat.初音ミク
102,フューチャー・イヴ《本人映像》,sasakure.UK
101,泡沫、哀のまほろば,幽閉サテライト/senya
100,カナリア,ReoNa
99,SWEET HURT,ReoNa
98,撥条少女時計《本人映像》,Drop&葉月ゆら
97,キミといた夏,三月のパンタシア
96,心拍数♯0822《本人映像》,蝶々P feat.初音ミク
95,ウィアートル,rionos
94,confession-蜜薬ランガージュ-,清風明月(葉月ゆら・Drop)
93,ビタースイート,三月のパンタシア
92,天ノ弱《本人映像》,164 feat.GUMI
91,僕が死のうと思ったのは,中島美嘉
90,かくしん的☆めたまるふぉ～ぜっ!《アニメカラオケ》,土間うまる(CV:田中あいみ)
89,why，or why not,大嶋啓之 feat.片霧烈火
88,-影二つ-,riya
87,千本桜《本人映像》,WhiteFlame feat.初音ミク
86,いのちの名前,木村弓
85,ストレンジアトラクター,やなぎなぎ
84,ぽかぽかの星,はるまきごはん feat.初音ミク
83,みちしるべ,茅原実里
82,深海少女,ゆうゆ feat.初音ミク
81,夜な夜な夜な,倉橋ヨエコ
80,夏祭り《本人映像》,Whiteberry
79,ECHO《本人映像》,CIRCRUSH feat.GUMI
78,馬と鹿《本人映像》,米津玄師
77,運命狂サディスティック,イオシス/あゆ(Dear Chocolat)
76,幾年創世幻想曲,Innocent Keyと真野紫
75,心のそばに,Belle
74,無邪気さへの上書き,幽閉サテライト/senya
73,レプリカの恋,幽閉サテライト/senya
72,少女が見た過去の記憶,EastNewSound feat.築山さえ
71,恋の氷結おてんば湯けむりチルノ温泉,イオシス/miko (Alternative ending)
70,ワンルームシュガーライフ《本人映像》,ナナヲアカリ
69,SCARBOROUGH FAIR/CANTICLE《本人映像》,SIMON&GARFUNKEL
68,RE:I AM《アニメカラオケ》,Aimer
67,ハシタイロ,rionos
66,愛言葉IV《本人映像》,DECO*27
65,ゾンビ《本人映像》,DECO*27
64,Asphodelos,Ariabl'eyeS
63,月追いの都市,霜月はるか
62,ねこ巫女れいむ,イオシス/miko
61,粉雪《本人映像》,レミオロメン
60,Sincerely《本人映像》,TRUE
59,チルノのパーフェクトさんすう教室〈Short.ver〉《アニメ映像》,イオシス/miko
58,君の知らない物語《本人映像》,supercell
57,Esse,やなぎなぎ
56,Who killed U.N.Owen,Liz Triangle
55,地球をあげる,はるまきごはん feat.LUMi
54,can cry,やなぎなぎ
53,ン・パカマーチ,徳光由香
52,英雄の詩篇,ダズビー
51,nuit,春野 feat.初音ミク
50,幻想楼閣,橋本みゆき
49,雨の菫青石,佐藤聡美
48,動く、動く,チト(CV:水瀬いのり)、ユーリ(CV:久保ユリカ)
47,アルストロメリアの枯言葉,SeA0
46,桜花散華,秣本瑳羅 (Riverside)
45,手のひらピアニッシモ,幽閉サテライト/senya
44,零れ桜,幽閉サテライト/senya
43,孤独月,幽閉サテライト/senya
42,あげぽよTONIGHT,イオシス/miko (Alternative ending)
41,Weiβ ～幻想への誘い～,霜月はるか†Revo
40,ラテラリティ,やなぎなぎ
39,you,雪野五月
38,蒼空に舞え、墨染の桜,Silver Forest feat. さゆり
37,Crescendo,秣本瑳羅 (Riverside)
36,花が散る世界[Vocalized Version],Linked Horizon
35,もののけ姫,米良美一
34,奈落の花《アニメカラオケ》,島みやえい子
33,星の涙,三月のパンタシア
32,月に叢雲華に風,幽閉サテライト/senya
31,星が瞬くこんな夜に,supercell
30,Bad Apple!! feat.nomico 影絵ver.《本人歌唱映像》,Alstroemeria Records
29,幻想浪漫綺行〈Another Sky Remix〉,凋叶棕 feat.めらみぽっぷ
28,偽らない君へ,やなぎなぎ
27,Ambivalentidea,やなぎなぎ
26,Ahoy!! 我ら宝鐘海賊団☆《レコおと》,宝鐘マリン
25,フォニイ《本人映像》,ツミキ
24,カフカなる群青へ,幽閉サテライト/senya
23,キメラ《本人映像》,DECO*27
22,うつろわざるもの,凋叶棕 feat.めらみぽっぷ
21,誇り高きアイドル,HoneyWorks feat.Kotoha
20,ゼロの足跡《本人映像》,角巻わため
19,sweet little sister,Silver Forest feat. さゆり
18,Schwarz ～そして少女は森の中～,霜月はるか†Revo
17,ヒトリシズカ,幽閉サテライト/senya
16,恋色マスタースパーク --<SplashSpeed>,efs feat.結城京華
15,ロミオとシンデレラ《本人映像》,doriko
14,鳥の詩,Lia
13,忘れじの言の葉,安次嶺希和子
12,REFLECT《レコおと》,Gawr Gura
11,永遠のメロディ,藤宮ゆき/いえろ～ぜぶら(あ～るの～と)
10,色は匂へど 散りぬるを,幽閉サテライト/senya
9,シャルイース《本人映像》,アキ・ローゼンタール
8,心に届く詩,Lia(Veil)
7,カザハネ,霜月はるか
6,SPiCa -ReACT-,GARNiDELiA
5,Arrietty's Song,CECILE CORBEL
4,希望へ向う譚詩曲[Long Version],Linked Horizon
3,風の行方[Vocalized Version],Linked Horizon
2,ルクセンダルク紀行,Linked Horizon
1,華鳥風月,幽閉サテライト/senya
